Time,PID,Tickets,Pass,Stride,Runtime
100,5,0,0,0,12
100,4,0,0,0,3
100,6,0,0,0,11
100,7,0,0,0,11
100,8,0,0,0,11
100,9,0,0,0,11
100,10,0,0,0,11
100,11,0,0,0,11
100,12,0,0,0,11
100,13,0,0,0,10
100,14,0,0,0,10
810,5,0,0,0,83
810,4,0,0,0,3
810,6,0,0,0,82
810,7,0,0,0,82
810,8,0,0,0,82
810,9,0,0,0,82
810,10,0,0,0,82
810,11,0,0,0,82
810,12,0,0,0,82
810,13,0,0,0,81
810,14,0,0,0,81
1531,5,0,0,0,155
1531,4,0,0,0,4
1531,6,0,0,0,154
1531,7,0,0,0,154
1531,8,0,0,0,154
1531,9,0,0,0,154
1531,10,0,0,0,154
1531,11,0,0,0,154
1531,12,0,0,0,154
1531,13,0,0,0,153
1531,14,0,0,0,153
2301,5,0,0,0,232
2301,4,0,0,0,4
2301,6,0,0,0,231
2301,7,0,0,0,231
2301,8,0,0,0,231
2301,9,0,0,0,231
2301,10,0,0,0,231
2301,11,0,0,0,231
2301,12,0,0,0,231
2301,13,0,0,0,230
2301,14,0,0,0,230
3022,5,0,0,0,304
3022,4,0,0,0,5
3022,6,0,0,0,303
3022,7,0,0,0,303
3022,8,0,0,0,303
3022,9,0,0,0,303
3022,10,0,0,0,303
3022,11,0,0,0,303
3022,12,0,0,0,303
3022,13,0,0,0,302
3022,14,0,0,0,302
3732,5,0,0,0,375
3732,4,0,0,0,5
3732,6,0,0,0,374
3732,7,0,0,0,374
3732,8,0,0,0,374
3732,9,0,0,0,374
3732,10,0,0,0,374
3732,11,0,0,0,374
3732,12,0,0,0,374
3732,13,0,0,0,373
3732,14,0,0,0,373
4514,5,0,0,0,453
4514,4,0,0,0,7
4514,6,0,0,0,452
4514,7,0,0,0,452
4514,8,0,0,0,452
4514,9,0,0,0,452
4514,10,0,0,0,452
4514,11,0,0,0,452
4514,12,0,0,0,452
4514,13,0,0,0,451
4514,14,0,0,0,451
5224,5,0,0,0,524
5224,4,0,0,0,7
5224,6,0,0,0,523
5224,7,0,0,0,523
5224,8,0,0,0,523
5224,9,0,0,0,523
5224,10,0,0,0,523
5224,11,0,0,0,523
5224,12,0,0,0,523
5224,13,0,0,0,522
5224,14,0,0,0,522
5945,5,0,0,0,596
5945,4,0,0,0,8
5945,6,0,0,0,595
5945,7,0,0,0,595
5945,8,0,0,0,595
5945,9,0,0,0,595
5945,10,0,0,0,595
5945,11,0,0,0,595
5945,12,0,0,0,595
5945,13,0,0,0,594
5945,14,0,0,0,594
6716,5,0,0,0,673
6716,4,0,0,0,9
6716,6,0,0,0,672
6716,7,0,0,0,672
6716,8,0,0,0,672
6716,9,0,0,0,672
6716,10,0,0,0,672
6716,11,0,0,0,672
6716,12,0,0,0,672
6716,13,0,0,0,671
6716,14,0,0,0,671
7437,5,0,0,0,745
7437,4,0,0,0,10
7437,6,0,0,0,744
7437,7,0,0,0,744
7437,8,0,0,0,744
7437,9,0,0,0,744
7437,10,0,0,0,744
7437,11,0,0,0,744
7437,12,0,0,0,744
7437,13,0,0,0,743
7437,14,0,0,0,743
8208,5,0,0,0,822
8208,4,0,0,0,11
8208,6,0,0,0,821
8208,7,0,0,0,821
8208,8,0,0,0,821
8208,9,0,0,0,821
8208,10,0,0,0,821
8208,11,0,0,0,821
8208,12,0,0,0,821
8208,13,0,0,0,820
8208,14,0,0,0,820
8918,5,0,0,0,893
8918,4,0,0,0,11
8918,6,0,0,0,892
8918,7,0,0,0,892
8918,8,0,0,0,892
8918,9,0,0,0,892
8918,10,0,0,0,892
8918,11,0,0,0,892
8918,12,0,0,0,892
8918,13,0,0,0,891
8918,14,0,0,0,891
9639,5,0,0,0,965
9639,4,0,0,0,12
9639,6,0,0,0,964
9639,7,0,0,0,964
9639,8,0,0,0,964
9639,9,0,0,0,964
9639,10,0,0,0,964
9639,11,0,0,0,964
9639,12,0,0,0,964
9639,13,0,0,0,963
9639,14,0,0,0,963
10410,5,0,0,0,1042
10410,4,0,0,0,13
10410,6,0,0,0,1041
10410,7,0,0,0,1041
10410,8,0,0,0,1041
10410,9,0,0,0,1041
10410,10,0,0,0,1041
10410,11,0,0,0,1041
10410,12,0,0,0,1041
10410,13,0,0,0,1040
10410,14,0,0,0,1040
11131,5,0,0,0,1114
11131,4,0,0,0,14
11131,6,0,0,0,1113
11131,7,0,0,0,1113
11131,8,0,0,0,1113
11131,9,0,0,0,1113
11131,10,0,0,0,1113
11131,11,0,0,0,1113
11131,12,0,0,0,1113
11131,13,0,0,0,1112
11131,14,0,0,0,1112
11902,5,0,0,0,1191
11902,4,0,0,0,15
11902,6,0,0,0,1190
11902,7,0,0,0,1190
11902,8,0,0,0,1190
11902,9,0,0,0,1190
11902,10,0,0,0,1190
11902,11,0,0,0,1190
11902,12,0,0,0,1190
11902,13,0,0,0,1189
11902,14,0,0,0,1189
12623,5,0,0,0,1263
12623,4,0,0,0,16
12623,6,0,0,0,1262
12623,7,0,0,0,1262
12623,8,0,0,0,1262
12623,9,0,0,0,1262
12623,10,0,0,0,1262
12623,11,0,0,0,1262
12623,12,0,0,0,1262
12623,13,0,0,0,1261
12623,14,0,0,0,1261
13344,5,0,0,0,1335
13344,4,0,0,0,17
13344,6,0,0,0,1334
13344,7,0,0,0,1334
13344,8,0,0,0,1334
13344,9,0,0,0,1334
13344,10,0,0,0,1334
13344,11,0,0,0,1334
13344,12,0,0,0,1334
13344,13,0,0,0,1333
13344,14,0,0,0,1333
14104,5,0,0,0,1411
14104,4,0,0,0,17
14104,6,0,0,0,1410
14104,7,0,0,0,1410
14104,8,0,0,0,1410
14104,9,0,0,0,1410
14104,10,0,0,0,1410
14104,11,0,0,0,1410
